text,pronoun,pronoun_loc,quote,quote_loc,options,label,source,answer,gpt4,gpt3,gpt4_similarity,gpt4_correct,gpt3_similarity,gpt3_correct
The city councilmen refused the demonstrators a permit because they feared violence.,they,63,they feared violence,63,"['The city councilmen', 'The demonstrators']",0,(Winograd 1972),The city councilmen,The city councilmen,The city councilmen,1.0,1,1.0,1
The city councilmen refused the demonstrators a permit because they advocated violence.,they,63,they advocated violence,63,"['The city councilmen', 'The demonstrators']",1,(Winograd 1972),The demonstrators,The demonstrators,The demonstrators,1.0,1,1.0,1
The trophy doesn't fit into the brown suitcase because it is too large.,it,55,it is too large,55,"['the trophy', 'the suitcase']",0,Hector Levesque,the trophy,the trophy,the trophy,1.0,1,1.0,1
The trophy doesn't fit into the brown suitcase because it is too small.,it,55,it is too small,55,"['the trophy', 'the suitcase']",1,Hector Levesque,the suitcase,the suitcase,the suitcase,1.0,1,1.0,1
Joan made sure to thank Susan for all the help she had recieved.,she,47,she had received,47,"['Joan', 'Susan']",0,Hector Levesque,Joan,Joan,Susan,1.0,1,0.4444444444444444,0
Joan made sure to thank Susan for all the help she had given.,she,47,she had given,47,"['Joan', 'Susan']",1,Hector Levesque,Susan,Susan,Susan,1.0,1,1.0,1
"Paul tried to call George on the phone, but he wasn't successful.",he,44,he wasn't successful.,44,"['Paul', 'George']",0,Hector Levesque,Paul,Paul,George,1.0,1,0.0,0
"Paul tried to call George on the phone, but he wasn't available.",he,44,he wasn't available.,44,"['Paul', 'George']",1,Hector Levesque,George,George,George,1.0,1,1.0,1
"The lawyer asked the witness a question, but he was reluctant to repeat it.",he,45,he was reluctant,45,"['the lawyer', 'the witness']",0,Hector Levesque,the lawyer,the lawyer,the witness,1.0,1,0.5714285714285714,0
"The lawyer asked the witness a question, but he was reluctant to answer it.",he,45,he was reluctant,45,"['the lawyer', 'the witness']",1,Hector Levesque,the witness,the witness,the witness,1.0,1,1.0,1
The delivery truck zoomed by the school bus because it was going so fast.,it,52,it was going so fast.,52,"['the delivery truck', 'the school bus']",0,Hector Levesque,the delivery truck,the delivery truck,the delivery truck,1.0,1,1.0,1
The delivery truck zoomed by the school bus because it was going so slow.,it,52,it was going so slow.,52,"['the delivery truck', 'the school bus']",1,Hector Levesque,the school bus,the school bus,the school bus,1.0,1,1.0,1
Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition.,he,65,he was the winner,65,"['Frank', 'Bill']",0,Hector Levesque,Frank,Frank,Frank,1.0,1,1.0,1
Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.,he,62,he was the winner,62,"['Frank', 'Bill']",1,Hector Levesque,Bill,Bill,Bill,1.0,1,1.0,1
The man couldn't lift his son because he was so weak.,he,38,he was so weak.,38,"['The man', 'The son']",0,Hector Levesque,The man,The man,The man,1.0,1,1.0,1
The man couldn't lift his son because he was so heavy.,he,38,he was so heavy.,38,"['The man', 'The son']",1,Hector Levesque,The son,The son,The son,1.0,1,1.0,1
The large ball crashed right through the table because it was made of steel.,it,55,it was made of steel.,55,"['The large ball', 'The table']",0,Hector Levesque,The large ball,The large ball,The large ball,1.0,1,1.0,1
The large ball crashed right through the table because it was made of styrofoam.,it,55,it was made of styrofoam.,55,"['The large ball', 'The table']",1,Hector Levesque,The table,The table,The table,1.0,1,1.0,1
John couldn't see the stage with Billy in front of him because he is so short.,he,63,he is so short.,63,"['John', 'Billy']",0,Hector Levesque,John,John,John,1.0,1,1.0,1
